item_type,key_or_id,current_label,current_role,action,new_label,new_role,implementation_notes
panel,politics,"Travel & Tourism News","General politics feeds",keep,"Travel & Tourism News","Primary travel industry news: airlines, hotels, OTAs, destinations, tourism boards","Retarget FEEDS.politics to Skift, PhocusWire, travel trade publications, airline/hotel blogs, tourism board RSS"
panel,expedia-monitor,"Expedia Monitor","Travel experiments panel",keep,"Travel Demand Monitor","Monitor Expedia offers, pricing trends and booking behavior","Keep existing logic; enhance with additional OTA monitoring if available"
panel,github,"Travel Tech Innovations","GitHub novelty feed",keep,"Travel Tech & Tools","Open-source projects for travel, booking, loyalty and marketing analytics","Filter to travel-tech, hospitality-tech, martech repos and tools"
panel,live-news,"Live News","Real-time headline stream",keep,"Live Travel News","Breaking travel industry news and announcements","Ensure backend only streams travel/hospitality/marketing headlines"
panel,tech,"Technology / AI","General tech news",repurpose,"Travel Tech & MarTech","Technology and AI specifically for travel marketing and distribution","Filter to travel tech companies, booking platforms, social media tools, ad-tech for travel; sources: Skift Tech, Phocuswright Tech, Travel Tech Con"
panel,finance,"Financial News","Broad financial markets",repurpose,"Travel & Hospitality Markets","Stock performance, earnings and financials for airlines, hotels, OTAs and ad platforms","Limit to travel sector tickers: airlines (DAL, UAL, AAL, LUV), hotels (MAR, HLT, IHG), OTAs (BKNG, EXPE), cruise (CCL, RCL, NCLH), ad platforms (META, GOOGL)"
panel,gov,"Government / Policy","General government news",repurpose,"Travel Policy & Regulations","Visa changes, border policies, tourism campaigns, destination marketing updates","Sources: UNWTO, national tourism boards, visa policy feeds, travel.state.gov, IATA policy bulletins"
panel,middleeast,"Middle East / MENA","Regional geopolitical news",repurpose,"MENA Travel Market","Travel, tourism and hospitality news from Middle East and North Africa","Filter to travel/hospitality stories from Gulf destinations, Egypt, Morocco; sources: Arabian Travel Market news, hotel openings, airline launches"
panel,africa,"Africa","Regional news",repurpose,"Africa Travel Market","Tourism developments, safari operations, hotel expansions in Africa","Focus on Kenya, Tanzania, South Africa, Morocco, Egypt tourism; sources: African Travel & Tourism Association"
panel,latam,"Latin America","Regional news",repurpose,"Latin America Travel Market","Travel trends, hotel developments and tourism in LATAM","Focus on Mexico, Brazil, Caribbean, Central America destinations; sources: LATAM travel industry publications"
panel,asia,"Asia-Pacific","Regional news",repurpose,"Asia-Pacific Travel Market","Tourism news from Asia-Pacific: China, Japan, Southeast Asia, Australia","Sources: TTR Weekly, Travel Daily (China), Japan Travel Bureau news, Tourism Australia"
panel,layoffs,"Layoffs Tracker","General tech layoffs",repurpose,"Travel Industry Talent Moves","Workforce changes, executive moves, layoffs in airlines, hotels and OTAs","Filter layoffs/hiring news to travel brands; include C-suite appointments in hospitality"
panel,ai,"AI / ML","General AI news",repurpose,"AI in Travel Marketing","AI-driven personalization, dynamic pricing, creative automation for travel brands","Focus on AI use cases: recommendation engines, chatbots, yield management, campaign optimization; sources: Phocuswright AI reports"
